cache_share_prompt,cached,completion_tokens,condition,cost_usd,dataset,disc_tok,doll_tok,final_total_cost_usd,final_total_tokens,layout,model,n_calls,prompt_tokens,q,r,raw_tok,seed,steps,success_count,violations
0.8841305482038001,93202.39,304,discover,0.00239013225,t11,31159.096666666665,31868.43,0.00239013,105721,sectioned,z-ai/glm-5.3-flash,12,105417,,0.19999999999999998,105721,0,12,,0
0.29937663445139284,31596.210000000003,147,discover,0.0068397219,t11,80410.02533333334,91196.292,0.00683972,105687,sectioned,z-ai/glm-5.3-flash,12,105540,,0.19999999999999998,105687,1,12,,5
0.937367773956755,206612.73,681,discover,0.0043048368,t11,55808.82399999999,57397.824,0.00430484,221099,sectioned,z-ai/glm-5.3-flash,17,220418,,0.19999999999999998,221099,2,17,,0
0.9039565088353205,191885.56,940,discover,0.00464234265,t11,59704.56866666666,61897.902,0.00464234,213213,single_page,z-ai/glm-5.3-flash,16,212273,,0.19999999999999998,213213,0,16,,0
0.3859569481880803,51548.41,442,discover,0.0082689057,t11,92763.26933333333,110252.076,0.00826891,134002,single_page,z-ai/glm-5.3-flash,13,133560,,0.19999999999999998,134002,1,13,,6
0.8891422213230831,162616.11,700,discover,0.00413485875,t11,53498.11666666666,55131.450000000004,0.00413486,183591,single_page,z-ai/glm-5.3-flash,15,182891,,0.19999999999999998,183591,2,15,,0
0.9080539694314105,210552.29,556,discover,0.0048962628,t11,63986.17066666665,65283.504,0.00489626,232428,wizard,z-ai/glm-5.3-flash,17,231872,,0.19999999999999998,232428,0,17,,0
0.5335521627495527,108264.67,211,discover,0.0103787145,t11,116512.23999999999,138382.86000000002,0.01037871,203124,wizard,z-ai/glm-5.3-flash,16,202913,,0.19999999999999998,203124,1,16,,5
0.5017232368530659,87936.53,470,discover,0.00798648345,t11,105389.77933333334,106486.44600000001,0.00798648,175739,wizard,z-ai/glm-5.3-flash,15,175269,,0.19999999999999998,175739,2,15,,0
0.9765565102445473,1477.53,32,floor,3.282345e-05,t11,362.9793333333333,437.646,3.282e-05,1545,sectioned,z-ai/glm-5.3-flash,1,1513,,0.19999999999999998,1545,0,1,,0
